iter	Logloss
156	0.3760765647
157	0.3759823353
158	0.3758377422
159	0.3754413251
160	0.3751608234
161	0.3748270484
162	0.3746009656
163	0.3744860759
164	0.3744378918
165	0.3743160501
166	0.374040935
167	0.3737727788
168	0.3734398176
169	0.3733719034
170	0.3733045359
171	0.3731262095
172	0.3730629236
173	0.3726381711
174	0.3719939793
175	0.37189781
176	0.3715976343
177	0.3715590735
178	0.3714903446
179	0.3710665292
180	0.3708720984
181	0.3706137165
182	0.3704312497
183	0.3699458913
184	0.3698083543
185	0.3692361287
186	0.3686785084
187	0.3682348775
188	0.3682301266
189	0.3680083952
190	0.3676772225
191	0.3675933863
192	0.3673313607
193	0.3668879429
194	0.3667698067
195	0.3663521776
196	0.3660683654
197	0.3659897889
198	0.3659889166
199	0.365757148
200	0.3654980464
201	0.3648480102
202	0.3643923343
203	0.3641820514
204	0.3641778921
205	0.3637045305
206	0.3634420956
207	0.3632065786
208	0.3628277907
209	0.3628248967
210	0.3627816579
211	0.3624415239
212	0.3623260026
213	0.362105647
214	0.3620518787
215	0.361638998
216	0.3615778791
217	0.3612764132
218	0.3610671197
219	0.3609752748
220	0.3608615546
221	0.3604213307
222	0.3601647967
223	0.359759732
224	0.3596332383
225	0.3593027809
226	0.358610118
227	0.3586028015
228	0.3584458783
229	0.3584167493
230	0.3583177901
231	0.3582267739
232	0.3579790093
233	0.3577388556
234	0.3576862756
235	0.3573379331
236	0.3571816412
237	0.3568839586
238	0.3567474415
239	0.3567463408
240	0.3565618241
241	0.3564285316
242	0.3561201606
243	0.3559826035
244	0.3558964294
245	0.355742426
246	0.3555896574
247	0.3555649608
248	0.3554089543
249	0.3553398942
250	0.3548015439
251	0.3546374233
252	0.3544313682
253	0.3543390557
254	0.3537241765
255	0.3537231128
256	0.3535117136
257	0.3531288431
258	0.3530085143
259	0.3527463457
260	0.352695421
261	0.3524209039
262	0.3523449295
263	0.3523444584
264	0.3522183112
265	0.351961707
266	0.3518334455
267	0.3517072384
268	0.3516756012
269	0.3515760032
270	0.35136334
271	0.351332597
272	0.3510969474
273	0.3508603257
274	0.3507290463
275	0.3503536103
276	0.3502800324
277	0.3501714408
278	0.349710974
279	0.3493273767
280	0.3491857514
281	0.3491498431
282	0.349071027
283	0.3489343217
284	0.3485641207
285	0.3480968986
286	0.3478774054
287	0.3474350251
288	0.3472753811
289	0.3470055744
290	0.3464311632
291	0.3459217902
292	0.3458653739
293	0.3457053149
294	0.3456449331
295	0.345452223
296	0.3453915002
297	0.3452331638
298	0.3447990989
299	0.3447439159
300	0.3446710382
301	0.3446696719
302	0.3444286818
303	0.344370496
304	0.3442876222
305	0.3441612192
306	0.3441215795
307	0.3440816388
308	0.3438456318
309	0.3431783303
310	0.3431356594
311	0.3431237039
312	0.3427047889
313	0.3421106433
314	0.3420702681
315	0.3420398051
316	0.3419268509
317	0.3418762482
318	0.3411849936
319	0.3406872371
320	0.3403971515
321	0.340368086
322	0.3400861884
323	0.3398524183
