iter	Logloss
0	0.6771536802
1	0.6644903486
2	0.6505763129
3	0.6398588834
4	0.6284610655
5	0.6179917441
6	0.6086954168
7	0.5994012204
8	0.5893214093
9	0.579600963
10	0.5710994093
11	0.5627071702
12	0.5558056099
13	0.549598697
14	0.5434778415
15	0.538328177
16	0.5334436058
17	0.527714702
18	0.5220905415
19	0.5174928533
20	0.5129668718
21	0.507640713
22	0.5040357124
23	0.5000125959
24	0.4959380994
25	0.4917268494
26	0.4866408027
27	0.4824284362
28	0.4794629221
29	0.4772598602
30	0.473155512
31	0.4699491217
32	0.4683749225
33	0.4649064149
34	0.4623903106
35	0.4595393664
36	0.4563970529
37	0.4547880225
38	0.4530662943
39	0.4513779718
40	0.4491985921
41	0.4475251842
42	0.4443220351
43	0.4421640436
44	0.4406615751
45	0.4391059317
46	0.4384183083
47	0.436798962
48	0.4353461077
49	0.4345430323
50	0.4326020044
51	0.4315365284
52	0.4305505506
53	0.4297653644
54	0.4281706742
55	0.4269004132
56	0.4254411706
57	0.4248915694
58	0.4243436053
59	0.4234893277
60	0.4222199073
61	0.4205676086
62	0.4199849958
63	0.4189700488
64	0.4180862303
65	0.4176176526
66	0.4166540908
67	0.4162147797
68	0.4152945324
69	0.414451606
70	0.4137959792
71	0.4130361602
72	0.4125333768
73	0.4121548968
74	0.4111424178
75	0.4103331635
76	0.4097225059
77	0.4086803607
78	0.4085696726
79	0.4079596288
80	0.4073338971
81	0.4059769784
82	0.4050924339
83	0.4048185283
84	0.4043080645
85	0.4030909948
86	0.4025102267
87	0.4023858247
88	0.402091501
89	0.4016986955
90	0.4014120291
91	0.4009683505
92	0.4004748449
93	0.4001691273
94	0.3997841131
95	0.3995195699
96	0.3989783882
97	0.3980651467
98	0.3974481511
99	0.3971815052
100	0.396642903
101	0.3962122263
102	0.3959511337
103	0.3952853524
104	0.3948542742
105	0.3945672356
106	0.3941479349
107	0.393133122
108	0.392355643
109	0.3918893642
110	0.3915121981
111	0.3911772578
112	0.3909305631
113	0.390796569
114	0.390728353
115	0.3901259273
116	0.3893810566
117	0.388613883
118	0.3884379927
119	0.3883186639
120	0.3878391528
121	0.3872471572
122	0.3869725445
123	0.3866161405
124	0.3865905164
125	0.3865244898
126	0.3857996649
127	0.385073422
128	0.3850290072
129	0.3849414843
130	0.3843447148
131	0.3840729203
132	0.3832929207
133	0.38289564
134	0.3822040694
135	0.3818712904
136	0.3816136525
137	0.3812688712
138	0.3809225933
139	0.3804090147
140	0.380297279
141	0.3795229167
142	0.3792419323
143	0.3791503783
144	0.3789298129
145	0.3786538244
146	0.3784814612
147	0.3780593572
148	0.377950357
149	0.3778928374
150	0.3773222944
151	0.3770592346
152	0.376624001
153	0.3763830327
154	0.3763822634
155	0.3763170146
